#chrom	chromStart	chromEnd	start	end	gene	plusminus65bpexonlength	exonlength	averagemappabilityl250m5	exonmappbelow1l250m51yes0no	positionsmappbelow1l250m5	percpositionsmappbelow1l250m5	maxcontigousbasesl250m5
chr1	1670296	1670561	1670361	1670496	SLC35E2	266	136	0.528195489	True	251	0.9436	226
chr1	1670610	1671061	1670675	1670996	SLC35E2	452	322	0.5	True	452	1	452
chr1	11982628	11983611	11982693	11983546	KIAA2013	984	854	0.698170732	True	594	0.6037	297
chr1	11985197	11986359	11985262	11986294	KIAA2013	1163	1033	0.619948409	True	884	0.7601	557
chr1	12855522	12856210	12855587	12856145	PRAMEF1	689	559	0.478398573	True	552	0.8012	339
chr1	12884735	12885426	12884800	12885361	PRAMEF11	692	562	0.248266256	True	600	0.8671	582
chr1	12887043	12887754	12887108	12887689	PRAMEF11	712	582	0.282959125	True	620	0.8708	268
chr1	12888292	12888588	12888357	12888523	PRAMEF11	297	167	0.191538391	True	294	0.9899	268
chr1	12907196	12908207	12907261	12908142	HNRNPCL1	1012	882	0.568181818	True	874	0.8636	356
chr1	12907196	12908207	12907261	12908142	LOC649330	1012	882	0.568181818	True	874	0.8636	356
chr1	12921011	12921699	12921076	12921634	PRAMEF2	689	559	0.659554875	True	366	0.5312	335
chr1	12939300	12939991	12939365	12939926	PRAMEF4	692	562	0.126451835	True	692	1	692
chr1	12941610	12942321	12941675	12942256	PRAMEF4	712	582	0.173844152	True	707	0.993	652
chr1	12942858	12943280	12942923	12943215	PRAMEF4	423	293	0.210199766	True	414	0.9787	116
chr1	12952682	12953370	12952747	12953305	PRAMEF10	689	559	0.278613553	True	651	0.9448	574
chr1	12954352	12955060	12954417	12954995	PRAMEF10	709	579	0.278554182	True	694	0.9788	632
chr1	12955327	12955743	12955392	12955678	PRAMEF10	417	287	0.354400926	True	398	0.9544	282
chr1	12977448	12977864	12977513	12977799	PRAMEF7	417	287	0.333333	True	417	1	417
chr1	12977448	12977864	12977513	12977799	PRAMEF8	417	287	0.333333	True	417	1	417
chr1	12978117	12978822	12978182	12978757	PRAMEF7	706	576	0.333333	True	706	1	706
chr1	12978117	12978822	12978182	12978757	PRAMEF8	706	576	0.333333	True	706	1	706
chr1	12979607	12980298	12979672	12980233	PRAMEF7	692	562	0.3436895	True	672	0.9711	645
chr1	12979607	12980298	12979672	12980233	PRAMEF8	692	562	0.3436895	True	672	0.9711	645
chr1	12998440	12999131	12998505	12999066	PRAMEF6	692	562	0.126507766	True	692	1	692
chr1	13000749	13001460	13000814	13001395	PRAMEF6	712	582	0.173010524	True	712	1	712
chr1	13001997	13002413	13002062	13002348	PRAMEF6	417	287	0.156594398	True	417	1	417
chr1	13035478	13035900	13035543	13035835	PRAMEF22	423	293	0.240661837	True	423	1	423
chr1	13036157	13036865	13036222	13036800	PRAMEF22	709	579	0.302679574	True	709	1	709
chr1	13037743	13038446	13037808	13038381	PRAMEF22	704	574	0.350142044	True	704	1	704
chr1	13108773	13109464	13108838	13109399	PRAMEF23	692	562	0.126711058	True	692	1	692
chr1	13108773	13109464	13108838	13109399	PRAMEF5	692	562	0.126711058	True	692	1	692
chr1	13111081	13111792	13111146	13111727	PRAMEF23	712	582	0.171210083	True	712	1	712
chr1	13111081	13111792	13111146	13111727	PRAMEF5	712	582	0.171210083	True	712	1	712
chr1	13112329	13112745	13112394	13112680	PRAMEF23	417	287	0.156594398	True	417	1	417
chr1	13112329	13112745	13112394	13112680	PRAMEF5	417	287	0.156594398	True	417	1	417
chr1	13182926	13183937	13182991	13183872	HNRNPCL2	1012	882	0.568675889	True	873	0.8626	356
chr1	13328768	13329471	13328833	13329406	PRAMEF22	704	574	0.271306815	True	704	1	704
chr1	13328768	13329471	13328833	13329406	PRAMEF3	704	574	0.271306815	True	704	1	704
chr1	13330349	13331057	13330414	13330992	PRAMEF22	709	579	0.257639748	True	709	1	709
chr1	13330349	13331057	13330414	13330992	PRAMEF3	709	579	0.257639748	True	709	1	709
chr1	13331314	13331736	13331379	13331671	PRAMEF22	423	293	0.292355955	True	423	1	423
chr1	13331314	13331736	13331379	13331671	PRAMEF3	423	293	0.292355955	True	423	1	423
chr1	13364826	13365242	13364891	13365177	PRAMEF23	417	287	0.151317132	True	417	1	417
chr1	13364826	13365242	13364891	13365177	PRAMEF5	417	287	0.151317132	True	417	1	417
chr1	13364826	13365242	13364891	13365177	PRAMEF6	417	287	0.151317132	True	417	1	417
chr1	13365779	13366490	13365844	13366425	PRAMEF23	712	582	0.132058348	True	712	1	712
chr1	13365779	13366490	13365844	13366425	PRAMEF5	712	582	0.132058348	True	712	1	712
chr1	13365779	13366490	13365844	13366425	PRAMEF6	712	582	0.132058348	True	712	1	712
chr1	13368107	13368798	13368172	13368733	PRAMEF23	692	562	0.157671958	True	692	1	692
chr1	13368107	13368798	13368172	13368733	PRAMEF5	692	562	0.157671958	True	692	1	692
chr1	13368107	13368798	13368172	13368733	PRAMEF6	692	562	0.157671958	True	692	1	692
chr1	13386917	13387608	13386982	13387543	PRAMEF8	692	562	0.330442893	True	692	1	692
chr1	13388393	13389098	13388458	13389033	PRAMEF8	706	576	0.333333	True	706	1	706
chr1	13389351	13389767	13389416	13389702	PRAMEF8	417	287	0.333333	True	417	1	417
chr1	13423938	13424360	13424003	13424295	PRAMEF15	423	293	0.148874284	True	423	1	423
chr1	13423938	13424360	13424003	13424295	PRAMEF9	423	293	0.148874284	True	423	1	423
chr1	13424902	13425613	13424967	13425548	PRAMEF15	712	582	0.135719122	True	712	1	712
chr1	13424902	13425613	13424967	13425548	PRAMEF9	712	582	0.135719122	True	712	1	712
chr1	13427233	13427924	13427298	13427859	PRAMEF15	692	562	0.130274367	True	692	1	692
chr1	13427233	13427924	13427298	13427859	PRAMEF9	692	562	0.130274367	True	692	1	692
chr1	13447985	13448673	13448050	13448608	PRAMEF13	689	559	0.361997874	True	689	1	689
chr1	13449495	13450203	13449560	13450138	PRAMEF13	709	579	0.393629419	True	709	1	709
chr1	13450485	13450901	13450550	13450836	PRAMEF13	417	287	0.391047017	True	417	1	417
chr1	13474624	13475327	13474689	13475262	PRAMEF18	704	574	0.290482839	True	704	1	704
chr1	13474624	13475327	13474689	13475262	PRAMEF19	704	574	0.290482839	True	704	1	704
chr1	13476206	13476914	13476271	13476849	PRAMEF18	709	579	0.34320633	True	709	1	709
chr1	13476206	13476914	13476271	13476849	PRAMEF19	709	579	0.34320633	True	709	1	709
chr1	13477171	13477587	13477236	13477522	PRAMEF18	417	287	0.382973607	True	417	1	417
chr1	13477171	13477587	13477236	13477522	PRAMEF19	417	287	0.382973607	True	417	1	417
chr1	13495219	13495635	13495284	13495570	PRAMEF16	417	287	0.270857842	True	417	1	417
chr1	13495902	13496610	13495967	13496545	PRAMEF16	709	579	0.385217278	True	709	1	709
chr1	13497505	13498193	13497570	13498128	PRAMEF16	689	559	0.441568489	True	689	1	689
chr1	13521908	13522324	13521973	13522259	PRAMEF20	417	287	0.5	True	417	1	417
chr1	13521908	13522324	13521973	13522259	PRAMEF21	417	287	0.5	True	417	1	417
chr1	13523672	13524380	13523737	13524315	PRAMEF20	709	579	0.5	True	709	1	709
chr1	13523672	13524380	13523737	13524315	PRAMEF21	709	579	0.5	True	709	1	709
chr1	13526247	13526938	13526312	13526873	PRAMEF20	692	562	0.5	True	692	1	692
chr1	13526247	13526938	13526312	13526873	PRAMEF21	692	562	0.5	True	692	1	692
chr1	13607702	13608393	13607767	13608328	PRAMEF7	692	562	0.330442893	True	692	1	692
chr1	13607702	13608393	13607767	13608328	PRAMEF8	692	562	0.330442893	True	692	1	692
chr1	13609178	13609883	13609243	13609818	PRAMEF7	706	576	0.333333	True	706	1	706
chr1	13609178	13609883	13609243	13609818	PRAMEF8	706	576	0.333333	True	706	1	706
chr1	13610136	13610552	13610201	13610487	PRAMEF7	417	287	0.333333	True	417	1	417
chr1	13610136	13610552	13610201	13610487	PRAMEF8	417	287	0.333333	True	417	1	417
chr1	13644735	13645157	13644800	13645092	PRAMEF15	423	293	0.148874284	True	423	1	423
chr1	13644735	13645157	13644800	13645092	PRAMEF9	423	293	0.148874284	True	423	1	423
chr1	13645699	13646410	13645764	13646345	PRAMEF15	712	582	0.135719122	True	712	1	712
chr1	13645699	13646410	13645764	13646345	PRAMEF9	712	582	0.135719122	True	712	1	712
chr1	13648030	13648721	13648095	13648656	PRAMEF15	692	562	0.130274367	True	692	1	692
chr1	13648030	13648721	13648095	13648656	PRAMEF9	692	562	0.130274367	True	692	1	692
chr1	13695460	13696163	13695525	13696098	PRAMEF18	704	574	0.291548179	True	704	1	704
chr1	13695460	13696163	13695525	13696098	PRAMEF19	704	574	0.291548179	True	704	1	704
chr1	13697042	13697750	13697107	13697685	PRAMEF18	709	579	0.34320633	True	709	1	709
chr1	13697042	13697750	13697107	13697685	PRAMEF19	709	579	0.34320633	True	709	1	709
chr1	13698007	13698423	13698072	13698358	PRAMEF18	417	287	0.382973607	True	417	1	417
chr1	13698007	13698423	13698072	13698358	PRAMEF19	417	287	0.382973607	True	417	1	417
chr1	13716053	13716469	13716118	13716404	PRAMEF17	417	287	0.270857842	True	417	1	417
chr1	13716736	13717444	13716801	13717379	PRAMEF17	709	579	0.378640803	True	709	1	709
chr1	13718339	13719027	13718404	13718962	PRAMEF17	689	559	0.435617851	True	689	1	689
chr1	13742747	13743163	13742812	13743098	PRAMEF20	417	287	0.5	True	417	1	417
chr1	13742747	13743163	13742812	13743098	PRAMEF21	417	287	0.5	True	417	1	417
chr1	13744532	13745240	13744597	13745175	PRAMEF20	709	579	0.5	True	709	1	709
chr1	13744532	13745240	13744597	13745175	PRAMEF21	709	579	0.5	True	709	1	709
chr1	13747107	13747798	13747172	13747733	PRAMEF20	692	562	0.5	True	692	1	692
chr1	13747107	13747798	13747172	13747733	PRAMEF21	692	562	0.5	True	692	1	692
chr1	16360041	16360218	16360106	16360153	CLCNKA	178	48	0.502808989	True	177	0.9944	154
chr1	16383299	16383476	16383364	16383411	CLCNKB	178	48	0.508426966	True	175	0.9831	154
chr1	16891237	16891478	16891302	16891413	NBPF1	242	112	0.042759996	True	242	1	242
chr1	16892837	16893019	16892902	16892954	NBPF1	183	53	0.025021842	True	183	1	183
chr1	16893609	16893911	16893674	16893846	NBPF1	303	173	0.180155743	True	274	0.9043	162
chr1	16894409	16894590	16894474	16894525	NBPF1	182	52	0.103832588	True	182	1	182
chr1	16895503	16895796	16895568	16895731	NBPF1	294	164	0.083475469	True	294	1	294
chr1	16899572	16899753	16899637	16899688	NBPF1	182	52	0.081976681	True	182	1	182
chr1	16900917	16901252	16900982	16901187	NBPF1	336	206	0.08470933	True	334	0.994	254
chr1	16901587	16901789	16901652	16901724	NBPF1	203	73	0.084711108	True	203	1	203
chr1	16902697	16903041	16902762	16902976	NBPF1	345	215	0.104335919	True	329	0.9536	176
chr1	16903747	16903979	16903812	16903914	NBPF1	233	103	0.068988657	True	233	1	233
chr1	16905623	16905962	16905688	16905897	NBPF1	340	210	0.125428559	True	340	1	340
chr1	16907175	16907516	16907240	16907451	NBPF1	342	212	0.092844997	True	342	1	342
chr1	16907850	16908052	16907915	16907987	NBPF1	203	73	0.200284803	True	200	0.9852	193
chr1	16908974	16909318	16909039	16909253	NBPF1	345	215	0.058165655	True	345	1	345
chr1	16910024	16910256	16910089	16910191	NBPF1	233	103	0.062982768	True	233	1	233
chr1	16911919	16912258	16911984	16912193	NBPF1	340	210	0.133461041	True	340	1	340
chr1	16913480	16913821	16913545	16913756	NBPF1	342	212	0.091777342	True	342	1	342
chr1	16914155	16914357	16914220	16914292	NBPF1	203	73	0.272693084	True	184	0.9064	168
chr1	16915279	16915623	16915344	16915558	NBPF1	345	215	0.057919554	True	345	1	345
chr1	16916329	16916561	16916394	16916496	NBPF1	233	103	0.139383558	True	228	0.9785	209
chr1	16918277	16918581	16918342	16918516	NBPF1	305	175	0.150064895	True	305	1	305
chr1	16999433	17000072	16999498	17000007	FAM231A	640	510	0.464973922	True	640	1	640
chr1	17060382	17061021	17060447	17060956	FAM231A	640	510	0.469270789	True	640	1	640
chr1	17083662	17083953	17083727	17083888	MST1L	292	162	0.381118643	True	286	1	286
chr1	17083948	17084217	17084013	17084152	MST1L	270	140	0.366525157	True	236	1	236
chr1	17084184	17084420	17084249	17084355	MST1L	237	107	0.41577992	True	178	0.9468	80
chr1	17084372	17084648	17084437	17084583	MST1L	277	147	0.368230783	True	277	1	277
chr1	17084896	17085146	17084961	17085081	MST1L	251	121	0.392430024	True	241	0.9602	123
chr1	17085233	17085728	17085298	17085663	MST1L	496	366	0.416308788	True	439	0.9421	169
chr1	17085699	17085959	17085764	17085894	MST1L	261	131	0.475845295	True	193	0.9324	104
chr1	17085906	17086246	17085971	17086181	MST1L	341	211	0.368523686	True	341	1	341
chr1	17086319	17086567	17086384	17086502	MST1L	249	119	0.348727944	True	249	1	249
chr1	17086582	17086832	17086647	17086767	MST1L	251	121	0.381187881	True	202	1	202
chr1	17086784	17087050	17086849	17086985	MST1L	267	137	0.396379262	True	252	0.9438	179
chr1	17087181	17087433	17087246	17087368	MST1L	253	123	0.442810328	True	201	0.9853	184
chr1	17271892	17272166	17271957	17272101	CROCC	275	145	0.443636211	True	264	0.96	260
chr1	19609160	19609451	19609225	19609386	AKR7A3	292	162	0.51426938	True	276	0.9452	276
chr1	21807358	21807539	21807423	21807474	NBPF3	182	52	0.53021978	True	171	0.9396	171
chr1	21808025	21808327	21808090	21808262	NBPF3	303	173	0.531353135	True	284	0.9373	220
chr1	21808912	21809093	21808977	21809028	NBPF3	182	52	0.5	True	182	1	182
chr1	21809571	21809944	21809636	21809879	NBPF3	374	244	0.520053476	True	359	0.9599	333
chr1	22304797	22305012	22304862	22304947	CELA3B	216	86	0.513888889	True	210	0.9722	107
chr1	22312959	22313241	22313024	22313176	CELA3B	283	153	0.5	True	283	1	283
chr1	22315690	22315837	22315755	22315772	CELA3B	148	18	0.5	True	148	1	148
chr1	22329431	22329646	22329496	22329581	CELA3A	216	86	0.511574074	True	211	0.9769	107
chr1	22336133	22336415	22336198	22336350	CELA3A	283	153	0.5	True	283	1	283
chr1	22338878	22339025	22338943	22338960	CELA3A	148	18	0.5	True	148	1	148
chr1	24287883	24288432	24287948	24288367	PNRC2	550	420	0.397272509	True	543	0.9873	300
chr1	24294088	24294278	24294153	24294213	SRSF10	191	61	0.5	True	191	1	191
chr1	24294351	24294511	24294416	24294446	SRSF10	161	31	0.5	True	161	1	161
chr1	24297567	24297994	24297632	24297929	SRSF10	428	298	0.499610591	True	428	1	428
chr1	24297998	24298181	24298063	24298116	SRSF10	184	54	0.5	True	184	1	184
chr1	24298275	24298567	24298340	24298502	SRSF10	293	163	0.5	True	293	1	293
chr1	24301399	24301630	24301464	24301565	SRSF10	232	102	0.5	True	232	1	232
chr1	24305136	24305372	24305201	24305307	SRSF10	237	107	0.5	True	237	1	237
chr1	24306616	24306810	24306681	24306745	SRSF10	195	65	0.5	True	195	1	195
chr1	25643426	25643635	25643491	25643570	RHD	210	80	0.5	True	210	1	210
chr1	25688953	25689109	25689018	25689044	RHCE	157	27	0.5	True	157	1	157
chr1	25701775	25701984	25701840	25701919	RHCE	210	80	0.5	True	210	1	210
chr1	29068850	29070563	29068915	29070498	YTHDF2	1714	1584	0.731913652	True	919	0.5362	289
chr1	39976781	39977100	39976846	39977035	BMP8A	320	190	0.5	True	320	1	320
chr1	39977363	39977641	39977428	39977576	BMP8A	279	149	0.5	True	279	1	279
chr1	39986983	39987307	39987048	39987242	BMP8A	325	195	0.529230769	True	306	0.9415	297
chr1	40230230	40230554	40230295	40230489	BMP8B	325	195	0.527692308	True	307	0.9446	207
chr1	40235309	40236992	40235374	40236927	OXCT2	1684	1554	0.589370546	True	1383	0.8213	621
chr1	40239915	40240193	40239980	40240128	BMP8B	279	149	0.5	True	279	1	279
chr1	40240456	40240775	40240521	40240710	BMP8B	320	190	0.5015625	True	319	0.9969	319
chr1	47400060	47400296	47400125	47400231	CYP4A11	237	107	0.544303797	True	216	0.9114	138
chr1	47401130	47401384	47401195	47401319	CYP4A11	255	125	0.535294118	True	237	0.9294	152
chr1	47546230	47546404	47546295	47546339	CYP4Z1	175	45	0.5	True	175	1	175
chr1	47550227	47550481	47550292	47550416	CYP4Z1	255	125	0.539215686	True	188	0.9216	160
chr1	47550431	47550715	47550496	47550650	CYP4Z1	285	155	0.5	True	285	1	285
chr1	47608876	47609130	47608941	47609065	CYP4A22	255	125	0.537254902	True	236	0.9255	134
chr1	103960732	103960911	103960797	103960846	LOC101928436	180	50	0.5	True	180	1	180
chr1	103971844	103972060	103971909	103971995	LOC101928436	217	87	0.5	True	217	1	217
chr1	103975448	103975749	103975513	103975684	LOC101928436	302	172	0.5	True	302	1	302
chr1	104120047	104120295	104120112	104120230	AMY2B	249	119	0.252029104	True	216	0.9391	208
chr1	104163108	104163371	104163173	104163306	AMY2A	264	134	0.457575735	True	264	1	264
chr1	104164134	104164386	104164199	104164321	AMY2A	253	123	0.5	True	217	1	217
chr1	104164351	104164580	104164416	104164515	AMY2A	230	100	0.5	True	230	1	230
chr1	104166423	104166671	104166488	104166606	AMY2A	249	119	0.216594291	True	230	1	230
chr1	104166653	104166908	104166718	104166843	AMY2A	256	126	0.282291676	True	256	1	256
chr1	104168114	104168433	104168179	104168368	AMY2A	320	190	0.441718713	True	320	1	320
chr1	104198888	104199185	104198953	104199120	AMY1A	298	168	0.300726829	True	298	1	298
chr1	104198888	104199185	104198953	104199120	AMY1B	298	168	0.300726829	True	298	1	298
chr1	104198888	104199185	104198953	104199120	AMY1C	298	168	0.300726829	True	298	1	298
chr1	104199401	104199677	104199466	104199612	AMY1A	277	147	0.318712105	True	277	1	277
chr1	104199401	104199677	104199466	104199612	AMY1B	277	147	0.318712105	True	277	1	277
chr1	104199401	104199677	104199466	104199612	AMY1C	277	147	0.318712105	True	277	1	277
chr1	104200351	104200678	104200416	104200613	AMY1A	328	198	0.297764009	True	328	1	328
chr1	104200351	104200678	104200416	104200613	AMY1B	328	198	0.297764009	True	328	1	328
chr1	104200351	104200678	104200416	104200613	AMY1C	328	198	0.297764009	True	328	1	328
chr1	104200997	104201357	104201062	104201292	AMY1A	361	231	0.318559269	True	361	1	361
chr1	104200997	104201357	104201062	104201292	AMY1B	361	231	0.318559269	True	361	1	361
chr1	104200997	104201357	104201062	104201292	AMY1C	361	231	0.318559269	True	361	1	361
chr1	104201967	104202230	104202032	104202165	AMY1A	264	134	0.298800288	True	264	1	264
chr1	104201967	104202230	104202032	104202165	AMY1B	264	134	0.298800288	True	264	1	264
chr1	104201967	104202230	104202032	104202165	AMY1C	264	134	0.298800288	True	264	1	264
chr1	104202917	104203169	104202982	104203104	AMY1A	253	123	0.333333	True	217	1	217
chr1	104202917	104203169	104202982	104203104	AMY1B	253	123	0.333333	True	217	1	217
chr1	104202917	104203169	104202982	104203104	AMY1C	253	123	0.333333	True	217	1	217
chr1	104203134	104203363	104203199	104203298	AMY1A	230	100	0.333333	True	230	1	230
chr1	104203134	104203363	104203199	104203298	AMY1B	230	100	0.333333	True	230	1	230
chr1	104203134	104203363	104203199	104203298	AMY1C	230	100	0.333333	True	230	1	230
chr1	104205214	104205462	104205279	104205397	AMY1A	249	119	0.200873546	True	229	1	229
chr1	104205214	104205462	104205279	104205397	AMY1B	249	119	0.200873546	True	229	1	229
chr1	104205214	104205462	104205279	104205397	AMY1C	249	119	0.200873546	True	229	1	229
chr1	104205443	104205698	104205508	104205633	AMY1A	256	126	0.234830691	True	256	1	256
chr1	104205443	104205698	104205508	104205633	AMY1B	256	126	0.234830691	True	256	1	256
chr1	104205443	104205698	104205508	104205633	AMY1C	256	126	0.234830691	True	256	1	256
chr1	104206888	104207207	104206953	104207142	AMY1A	320	190	0.312499747	True	320	1	320
chr1	104206888	104207207	104206953	104207142	AMY1B	320	190	0.312499747	True	320	1	320
chr1	104206888	104207207	104206953	104207142	AMY1C	320	190	0.312499747	True	320	1	320
chr1	104230006	104230325	104230071	104230260	AMY1A	320	190	0.292291481	True	320	1	320
chr1	104230006	104230325	104230071	104230260	AMY1B	320	190	0.292291481	True	320	1	320
chr1	104230006	104230325	104230071	104230260	AMY1C	320	190	0.292291481	True	320	1	320
chr1	104231515	104231770	104231580	104231705	AMY1A	256	126	0.216101788	True	236	1	236
chr1	104231515	104231770	104231580	104231705	AMY1B	256	126	0.216101788	True	236	1	236
chr1	104231515	104231770	104231580	104231705	AMY1C	256	126	0.216101788	True	236	1	236
chr1	104231751	104231999	104231816	104231934	AMY1A	249	119	0.312918088	True	249	1	249
chr1	104231751	104231999	104231816	104231934	AMY1B	249	119	0.312918088	True	249	1	249
chr1	104231751	104231999	104231816	104231934	AMY1C	249	119	0.312918088	True	249	1	249
chr1	104233851	104234080	104233916	104234015	AMY1A	230	100	0.320446454	True	194	1	194
chr1	104233851	104234080	104233916	104234015	AMY1B	230	100	0.320446454	True	194	1	194
chr1	104233851	104234080	104233916	104234015	AMY1C	230	100	0.320446454	True	194	1	194
chr1	104234045	104234297	104234110	104234232	AMY1A	253	123	0.314755992	True	253	1	253
chr1	104234045	104234297	104234110	104234232	AMY1B	253	123	0.314755992	True	253	1	253
chr1	104234045	104234297	104234110	104234232	AMY1C	253	123	0.314755992	True	253	1	253
chr1	104234984	104235247	104235049	104235182	AMY1A	264	134	0.331439068	True	264	1	264
chr1	104234984	104235247	104235049	104235182	AMY1B	264	134	0.331439068	True	264	1	264
chr1	104234984	104235247	104235049	104235182	AMY1C	264	134	0.331439068	True	264	1	264
chr1	104235857	104236217	104235922	104236152	AMY1A	361	231	0.315142848	True	361	1	361
chr1	104235857	104236217	104235922	104236152	AMY1B	361	231	0.315142848	True	361	1	361
chr1	104235857	104236217	104235922	104236152	AMY1C	361	231	0.315142848	True	361	1	361
chr1	104236536	104236863	104236601	104236798	AMY1A	328	198	0.300050585	True	328	1	328
chr1	104236536	104236863	104236601	104236798	AMY1B	328	198	0.300050585	True	328	1	328
chr1	104236536	104236863	104236601	104236798	AMY1C	328	198	0.300050585	True	328	1	328
chr1	104237537	104237813	104237602	104237748	AMY1A	277	147	0.297051552	True	277	1	277
chr1	104237537	104237813	104237602	104237748	AMY1B	277	147	0.297051552	True	277	1	277
chr1	104237537	104237813	104237602	104237748	AMY1C	277	147	0.297051552	True	277	1	277
chr1	104238029	104238326	104238094	104238261	AMY1A	298	168	0.279641879	True	298	1	298
